Kod	Nazwa
027S04/02	Sklejka liściasta suchotrwała 2,7x1525x1525 BB/BB
03S01/02	Sklejka liściasta suchotrwała 3x1525x1525 B/B
03S02/02	Sklejka liściasta suchotrwała 3x1525x1525 B/BB
03S02/02 B	Sklejka liściasta suchotrwała 3x1525x1525 B/BB
03S04/02	Sklejka liściasta suchotrwała 3x1525x1525 BB/BB
03S04/02 B	Sklejka liściasta suchotrwała 3x1525x1525 BB/BB
03S05/02	Sklejka liściasta suchotrwała 3x1525x1525 BB/CP
03S05/02 B	Sklejka liściasta suchotrwała 3x1525x1525 BB/CP
03S07/02	Sklejka liściasta suchotrwała 3x1525x1525 CP/CP
03S10/02	Sklejka liściasta suchotrwała 3x1525x1525 C/C
03S18/02	Sklejka liściasta suchotrwała 3x1525x1525 CP/C
03S22/02	Sklejka liściasta suchotrwała 3x1525x1525 BB/C
03S22/02 B	Sklejka liściasta suchotrwała 3x1525x1525 BB/C
03S22/43	Sklejka liściasta suchotrwała 3x1525x1475 BB/C
04S01/02	Sklejka liściasta suchotrwała 4x1525x1525 B/B
04S01/06	Sklejka dębowa wodoodporna 4x2500x1250 B/B
04S01/06 mahoń	Sklejka mahoniowa wodoodporna 4x2500x1250 B/B
04S02/02	Sklejka liściasta suchotrwała 4x1525x1525 B/BB
04S02/02 B	Sklejka liściasta suchotrwała 4x1525x1525 B/BB
04S04/02	Sklejka liściasta suchotrwała 4x1525x1525 BB/BB FSC Mix Credit SGSCH-COC-009690
04S04/02 B	Sklejka liściasta suchotrwała 4x1525x1525 BB/BB
04S04/04 E	Sklejka liściasta wodoodporna 4x2440x1220 BB/BB
04S04/05 E	Sklejka liściasta wodoodporna 4x1250x2500 BB/BB
04S04/06 E	Sklejka liściasta wodoodporna 4x2500x1250 BB/BB
04S04/08 E	Sklejka liściasta wodoodporna 4x2500x1500 BB/BB
04S04/12 E	Sklejka liściasta wodoodporna 4x1500x3000 BB/BB
04S05/02	Sklejka liściasta suchotrwała 4x1525x1525 BB/CP FSC Mix Credit SGSCH-COC-009690
04S05/02 B	Sklejka liściasta suchotrwała 4x1525x1525 BB/CP
04S05/03 E	Sklejka liściasta wodoodporna 4x1220x2440 BB/CP
04S05/04 E	Sklejka liściasta wodoodporna 4x2440x1220 BB/CP
04S05/04 E BX	Sklejka iglasta wodoodporna 4x2440x1220 BX
04S05/05 BX	Sklejka iglasta wodoodporna 4x1250x2500mm
04S05/05 E	Sklejka liściasta wodoodporna 4x1250x2500 BB/CP
04S05/06 E	Sklejka liściasta wodoodporna 4x2500x1250 BB/CP
04S05/06 E BX	Sklejka iglasta wodoodporna 4x2500x1250 BX
04S05/06 INT BX	Sklejka iglasta suchotrwała 4x2500x1250 BX
04S05/11 E	Sklejka liściasta wodoodporna 4x1525x3050 BB/CP
04S05/12 E	Sklejka liściasta wodoodporna 4x1500x3000 BB/CP
04S06/04 E	Sklejka liściasta wodoodporna 4x2440x1220 BB/WG
04S06/05 E	Sklejka liściasta wodoodporna 4x1250x2500 BB/WG
04S06/06 E	Sklejka liściasta wodoodporna 4x2500x1250 BB/WG
04S06/11 E	Sklejka liściasta wodoodporna 4x1525x3050 BB/WG
04S06/12 E	Sklejka liściasta wodoodporna 4x1500x3000 BB/WG
04S07/02	Sklejka liściasta suchotrwała 4x1525x1525 CP/CP
04S07/02 B	Sklejka liściasta suchotrwała 4x1525x1525 CP/CP
04S07/03 E	Sklejka liściasta wodoodporna 4x1220x2440 CP/CP
04S07/04 E	Sklejka liściasta wodoodporna 4x2440x1220 CP/CP
